Id,CompetencyId,Stage,ShortDescription,Description,StartMMR,EndMMR
1,1,S1,Print Concepts & Tracking,"Follow left-to-right, top-to-bottom; point to each word; match spoken words to printed words; know basic letter sounds.",0,1000
2,1,S2,Sound Out & Sight Words,"Sound out simple words (cat, ship, stop); know many common words without sounding them out.",1001,2000
3,1,S3,Smooth Sentences & Punctuation,Read short sentences in phrases (not word-by-word); pause at commas; stop at periods and question marks.,2001,3000
4,1,S4,Paragraph Fluency & Stamina,Read a short paragraph smoothly and accurately; keep reading for several minutes; fix mistakes when noticed.,3001,4000
5,1,S5,Expression & Speed,Read with expression; control speed (not too fast or slow); keep phrases smooth.,4001,5000
6,1,S6,Self-Check & Expressive Reading,Read a new grade-level text with steady pace and expression; notice when meaning breaks and reread to fix it.,5001,6000
7,2,S1,Everyday & School Words,Learn and use everyday school words; link words to pictures/actions; know many common words by sight.,0,1000
8,2,S2,Word Relationships,Know words that mean the same or the opposite; sort words into groups; build word families.,1001,2000
9,2,S3,Use Context Clues,Use the sentence or paragraph to guess a word’s meaning; pick the meaning that fits best.,2001,3000
10,2,S4,"Word Parts (Roots, Prefixes, Suffixes)",Break words into parts and use the parts to figure out meaning; make related words.,3001,4000
11,2,S5,Academic Words (Tier 2),"Learn useful school words across subjects (e.g., compare, explain); say them in your own words; choose precise terms.",4001,5000
12,2,S6,Subject Words (Tier 3),"Understand topic words for science, social studies, etc.; explain them clearly; tell apart close meanings.",5001,6000
13,3,S1,Sentences & End Marks,Spot/write complete sentences (who/what + action); start with a capital; end with . ? or !,0,1000
14,3,S2,Verbs & Agreement,Use the right tense (past/present/future) and make verbs match the subject; form questions and “not” sentences correctly.,1001,2000
15,3,S3,Join Sentences,"Join ideas with and, but, or; use commas in a list; avoid run-ons and fragments.",2001,3000
16,3,S4,Add Clauses for Detail,Use because/when/if to add reasons or time; use who/that to add details; punctuate these correctly.,3001,4000
17,3,S5,Clear Connections,"Use pronouns so the reader knows who/what you mean; use transition words (first, then, however) to link ideas; keep similar parts parallel.",4001,5000
18,3,S6,Edit for Clarity,"Edit writing: keep tense the same, match pronouns to nouns, use commas/apostrophes/quotes correctly; make sentences clearer.",5001,6000
19,4,S1,Concrete,Uses counters/cubes/fingers to show facts.,0,1000
20,4,S2,Pictorial,"Draws or visualizes models (arrays, number lines).",1001,2000
21,4,S3,Abstract,Works with symbols and numbers without models.,2001,3000
22,4,S4,Relational,Connects facts across operations; uses equivalence.,3001,4000
23,5,S1,Counting,Counts on/back or repeats addition.,0,1000
24,5,S2,Derived Facts,"Uses known facts: doubles, near doubles, make 10.",1001,2000
25,5,S3,Properties-Based,Applies commutative/associative/distributive laws.,2001,3000
26,5,S4,Adaptive,Chooses the most efficient strategy for the problem.,3001,4000
27,6,S1,Emerging,Frequent errors; needs prompts.,0,1000
28,6,S2,Developing,Mostly correct with familiar facts.,1001,2000
29,6,S3,Proficient,Accurate across all basic facts.,2001,3000
30,6,S4,Mastery,"Very rare errors, even with time pressure.",3001,4000
31,7,S1,Slow Recall,Takes time or tools to recall facts.,0,1000
32,7,S2,Partial Automaticity,Quick on some facts; others take effort.,1001,2000
33,7,S3,Full Automaticity,Fast recall of all basic facts (<=3s).,2001,3000
34,7,S4,Transfer & Application,"Uses facts fluently in multi-step, real contexts.",3001,4000
35,8,S1,Time & Distance Units,Minutes/hours/seconds; meters/kilometers; read clocks & trip schedules; recognize “per”,0,1000
36,8,S2,Uniform Motion Basics,"Use d = v × t; solve for a missing variable, keep units consistent",1001,2000
